authors,title
William Shakespeare,Hamlet
William Shakespeare,Macbeth
James Joyce,Ulysses
"Nietzsche, Friedrich Wilhelm",Beyond Good and Evil
Eric S. Raymond,The New Hacker's Dictionary
Plato,Euthyphro
Plato,Euthydemus
Plato,Alcibiades II
Plato,Alcibiades I
Plato,Cratylus
Plato,Charmides
Plato,"Apology, Crito, and Phaedo of Socrates"
Plato,The Apology
C. S. Lewis,The Voyage of the Dawn Treader
C. S. Lewis,Prince Caspian
F. Scott Fitzgerald,The Great Gatsby
C. S. Lewis,The Horse and His Boy
Bram Stoker,Dracula
C. S. Lewis," The Lion, the Witch and the Wardrobe"
Ken Follett,The Pillars of the Earth
C. S. Lewis,Magician's Nephew
Neil Gaiman & Terry Pratchett,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
John Galt,The Provost
Henk Tijms,Understanding Probability: Chance Rules in Everyday Life
John D. Barrow,The Constants of Nature: From Alpha to Omega--The Numbers That Encode the Deepest Secrets of the Universe
Graham McNeill, The Outcast Dead
Leo Tolstoy,Anna Karenina
Katrin Becker,String Theory and M-Theory: A Modern Introduction
Arthur Golden,Memoirs of a Geisha
Leo Tolstoy,War and Peace
James Stewart,"Calculus: Early Transcendentals, Hybrid Edition"
Gav Thorpe, Gav Thorpe - Deliverance Lost
Timothy Gowers;June Barrow-green,The Princeton Companion to Mathematics
Robert Tressell,The Ragged Trousered Philanthropists
J. R. R. Tolkien,The Fellowship of the Ring
Nick Kyme, Tales of Heresy
R. Douglas Gregory,Classical Mechanics
Graham McNeill, Death of a Silversmith
R. Douglas Gregory,Classical Mechanics Solutions
Sun Tzu,The Art of War
Dan Abnett, Legion
Thomas Hardy,Tess of the D'Urbervilles: A Pure Woman
Jules Verne,Twenty Thousand Leagues Under the Sea
Dan Abnett, Horus Rising
Philip Pullman,The Amber Spyglass
Ernest Hemingway,The Old Man and the Sea
Philip Pullman,The Golden Compass
Ernest Hemingway,The Nick Adams Stories
Ernest Hemingway,Men Without Women
Ernest Hemingway,Islands in the Stream
Oscar Wilde,The Picture of Dorian Gray and Three Stories
J. K. Rowling,Harry Potter 06 and the Half-Blood Prince
J. K. Rowling,Harry Potter 05 and the Order of the Phoenix
Aaron Dembski-Bowden, 17b - Aaron Dembski-Bowden - Aurelian
Ernest Hemingway,For Whom the Bell Tolls
George R. R. Martin,A Feast for Crows
J. K. Rowling,Harry Potter 04 and the Goblet of Fire
Ernest Hemingway,Clean Well Lighted Place
J. K. Rowling,Harry Potter 03 and the Prisoner of Azkaban
Ernest Hemingway,Garden of Eden
C. Bromberg,Introduction to Nuclear and Particle Physics: Solutions Manual for Second Edition of Text by Das and Ferbel
J. K. Rowling,Harry Potter 01 and the Sorcerer's Stone
Douglas Adams,The Hitchhiker's Guide to the Galaxy: Primary Phase
Brian Cox and Jeff Forshaw,Why Does E=mc2?:
Richard Adams,Watership Down
Louisa May Alcott,Little Women
Christian Dunn (Edited by), Christan Dunn - Age of Darkness
Aldous Huxley,Brave New World
Steven Holzner,Differential Equations for Dummies
Jeffrey Archer,Kane and Abel
Melanie Mitchell,An Introduction to Genetic Algorithms
John Irving,A Prayer for Owen Meany
Oliver Johns,Analytical Mechanics for Relativity and Quantum Mechanics
Moshe Sipper,Evolved To Win
Graham McNeill, Fulgrim
Henry James,The Turn of the Screw
Matthew Telles,Wiley Publishing - C++ Timesaving Techniques for Dummies
Graham McNeill, Mechanicum
